sheep weight value
0 107.000000 160556.000000
1 113.000000 198986.000000
2 96.000000 176853.000000
3 118.000000 175594.000000
4 81.000000 164222.000000
5 95.000000 184294.000000
6 106.000000 166349.000000
7 113.000000 194034.000000
8 111.000000 177170.000000
9 95.000000 160337.000000
10 86.000000 197442.000000
11 119.000000 197266.000000
12 86.000000 192093.000000
13 110.000000 155498.000000
14 80.000000 186289.000000
15 87.000000 185712.000000
16 106.000000 177115.000000
17 106.000000 172312.000000
18 85.000000 170048.000000
19 97.000000 195836.000000
20 92.000000 176185.000000
21 91.000000 152696.000000
22 120.000000 199358.000000
23 98.000000 196621.000000
24 83.000000 178318.000000
25 100.000000 195687.000000
26 111.000000 187574.000000
27 115.000000 168184.000000
28 116.000000 152321.000000
29 95.000000 186949.000000
30 84.000000 188479.000000
31 100.000000 159072.000000
32 103.000000 183829.000000
33 92.000000 167738.000000
34 97.000000 178170.000000
35 110.000000 153549.000000
36 92.000000 190211.000000
37 116.000000 165268.000000
38 89.000000 161648.000000
39 106.000000 163561.000000
40 94.000000 182775.000000
41 86.000000 169646.000000
42 81.000000 151608.000000
43 83.000000 167567.000000
44 91.000000 199255.000000
45 96.000000 185975.000000
46 120.000000 159258.000000
47 118.000000 159527.000000
48 87.000000 189725.000000
49 110.000000 159772.000000
50 82.000000 165058.000000
51 92.000000 192162.000000
52 85.000000 197861.000000
53 80.000000 180441.000000
54 95.000000 169171.000000
55 110.000000 164561.000000
56 117.000000 151897.000000
57 119.000000 180411.000000
58 114.000000 152189.000000
59 116.000000 177526.000000
60 103.000000 186257.000000
61 108.000000 170163.000000
62 81.000000 191949.000000
63 101.000000 151437.000000
64 97.000000 195614.000000
65 119.000000 174130.000000
66 85.000000 176540.000000
67 87.000000 195742.000000
68 106.000000 160579.000000
69 98.000000 168239.000000
70 81.000000 154081.000000
71 114.000000 158434.000000
72 91.000000 160697.000000
73 106.000000 182921.000000
74 117.000000 190088.000000
75 99.000000 185513.000000
76 110.000000 162688.000000
77 87.000000 166851.000000
78 98.000000 183010.000000
79 86.000000 189621.000000
80 119.000000 183379.000000
81 91.000000 154389.000000
82 105.000000 157410.000000
83 104.000000 183630.000000
84 107.000000 155951.000000
85 85.000000 165388.000000
86 87.000000 198838.000000
87 91.000000 171785.000000
88 110.000000 190321.000000
89 101.000000 183886.000000
90 84.000000 156651.000000
91 108.000000 187855.000000
92 81.000000 178364.000000
93 95.000000 186065.000000
94 90.000000 177406.000000
95 116.000000 196579.000000
96 106.000000 187282.000000
97 90.000000 172238.000000
98 89.000000 198409.000000
99 111.000000 170384.000000
100 109.000000 151079.000000
101 116.000000 161134.000000
102 83.000000 160396.000000
103 81.000000 180632.000000
104 102.000000 151829.000000
105 117.000000 156390.000000
106 92.000000 185066.000000
107 82.000000 195087.000000
108 103.000000 185300.000000
109 81.000000 178486.000000
110 92.000000 178791.000000
111 86.000000 198635.000000
112 92.000000 152106.000000
113 95.000000 190310.000000
114 112.000000 167354.000000
115 103.000000 168017.000000
116 107.000000 180905.000000
117 96.000000 192188.000000
118 92.000000 189274.000000
119 85.000000 172051.000000
120 100.000000 184912.000000
121 93.000000 182804.000000
122 95.000000 186210.000000
123 101.000000 197540.000000
124 99.000000 195436.000000
125 94.000000 185519.000000
126 83.000000 165142.000000
127 82.000000 191550.000000
