sheep weight value
0 106.000000 107072.000000
1 77.000000 135471.000000
2 78.000000 113862.000000
3 105.000000 109773.000000
4 75.000000 136455.000000
5 95.000000 126839.000000
6 104.000000 102328.000000
7 79.000000 134714.000000
8 91.000000 112741.000000
9 95.000000 141650.000000
10 88.000000 105835.000000
11 79.000000 143341.000000
12 98.000000 128695.000000
13 82.000000 124015.000000
14 75.000000 129912.000000
15 82.000000 136864.000000
16 103.000000 135503.000000
17 75.000000 104063.000000
18 90.000000 141463.000000
19 81.000000 132852.000000
20 87.000000 103106.000000
21 78.000000 136452.000000
22 79.000000 103198.000000
23 94.000000 132281.000000
24 86.000000 104537.000000
25 104.000000 122497.000000
26 97.000000 128724.000000
27 106.000000 136202.000000
28 88.000000 111357.000000
29 96.000000 125022.000000
30 97.000000 130763.000000
31 107.000000 117371.000000
32 93.000000 148733.000000
33 75.000000 117528.000000
34 102.000000 123083.000000
35 109.000000 102976.000000
36 109.000000 146857.000000
37 83.000000 111573.000000
38 106.000000 113694.000000
39 97.000000 107585.000000
40 95.000000 149403.000000
41 93.000000 128140.000000
42 108.000000 115001.000000
43 90.000000 141556.000000
44 101.000000 147299.000000
45 99.000000 137304.000000
46 88.000000 102976.000000
47 78.000000 133240.000000
48 103.000000 127674.000000
49 88.000000 146637.000000
50 82.000000 113559.000000
51 75.000000 133134.000000
52 91.000000 100894.000000
53 109.000000 145324.000000
54 76.000000 149953.000000
55 77.000000 146022.000000
56 83.000000 143495.000000
57 96.000000 127831.000000
58 82.000000 121001.000000
59 83.000000 122469.000000
60 89.000000 100887.000000
61 101.000000 114035.000000
62 100.000000 131664.000000
63 109.000000 111919.000000
64 77.000000 114943.000000
65 85.000000 122912.000000
66 99.000000 104666.000000
67 78.000000 112939.000000
68 102.000000 127865.000000
69 79.000000 113416.000000
70 103.000000 140383.000000
71 93.000000 123784.000000
72 77.000000 133348.000000
73 98.000000 143096.000000
74 104.000000 126759.000000
75 78.000000 108995.000000
76 86.000000 143753.000000
77 93.000000 106934.000000
78 101.000000 119316.000000
79 80.000000 135244.000000
80 101.000000 119508.000000
81 85.000000 117669.000000
82 102.000000 128674.000000
83 87.000000 126850.000000
84 95.000000 144304.000000
85 75.000000 137308.000000
86 94.000000 149568.000000
87 85.000000 123388.000000
88 77.000000 128943.000000
89 107.000000 140926.000000
90 90.000000 141842.000000
91 105.000000 139147.000000
92 90.000000 145109.000000
93 78.000000 100505.000000
94 105.000000 112571.000000
95 84.000000 110359.000000
96 96.000000 103662.000000
97 105.000000 100899.000000
98 81.000000 141188.000000
99 101.000000 126204.000000
100 80.000000 105525.000000
101 108.000000 104796.000000
102 96.000000 137903.000000
103 79.000000 108057.000000
104 77.000000 115509.000000
105 88.000000 107110.000000
106 90.000000 122968.000000
107 84.000000 143385.000000
108 93.000000 137402.000000
109 94.000000 113265.000000
110 94.000000 141888.000000
111 97.000000 129416.000000
112 80.000000 118724.000000
113 109.000000 137513.000000
114 110.000000 143538.000000
115 101.000000 105749.000000
116 97.000000 100196.000000
117 77.000000 138559.000000
118 110.000000 102979.000000
119 102.000000 142018.000000
120 110.000000 134300.000000
121 75.000000 110761.000000
122 76.000000 133818.000000
123 93.000000 140684.000000
124 82.000000 123214.000000
125 76.000000 139377.000000
126 104.000000 134594.000000
127 84.000000 148479.000000
128 108.000000 112124.000000
129 106.000000 126069.000000
130 89.000000 140797.000000
131 91.000000 115641.000000
132 108.000000 130555.000000
133 82.000000 124845.000000
134 101.000000 101759.000000
135 99.000000 143728.000000
136 87.000000 135799.000000
137 91.000000 104112.000000
138 99.000000 106483.000000
139 95.000000 132843.000000
140 90.000000 121608.000000
141 77.000000 122161.000000
142 103.000000 132713.000000
143 90.000000 112246.000000
144 90.000000 126741.000000
145 82.000000 143898.000000
146 86.000000 134066.000000
147 100.000000 117222.000000
148 91.000000 143791.000000
149 83.000000 135805.000000
150 97.000000 137434.000000
151 84.000000 105676.000000
152 80.000000 117186.000000
153 86.000000 137417.000000
154 108.000000 113010.000000
155 76.000000 134996.000000
156 95.000000 140618.000000
157 92.000000 124080.000000
158 75.000000 112945.000000
